uniprot_acc	complex_id	protein_complex_name
P53202	368	Cul3-RING ubiquitin ligase complex (GO)
P36149	175	TRAPP complex
Q03503	115	NatC complex
Q06504	127	NatB complex
P22203	152	vacuolar proton-transporting V-type ATPase, V1 domain
P0C2H7	219	cytosolic large ribosomal subunit
P39007	479	putative Ost1-Stt3 complex
P53192	126	GET complex
P36103	184	Ski complex
P40477	74	nucleoporin Nup82 subcomplex
P34160	423	commitment complex (GO)
P33322	80	box H/ACA snoRNP complex (GO)
Q12464	187	SWR1 complex
P25567	316	putative Kem1-Gbp2-Sro9-Sbp1 complex
Q12059	27	Ula1-Uba3 enzyme complex
Q04226	217	transcription factor TFIID complex
P53861	270	transcription elongation factor complex (GO)
Q02326	219	cytosolic large ribosomal subunit
P32628	484	proteasome complex (GO)
P53599	54	Ssk1-Ssk2 complex
P36152	271	putative Dre2-Tah18 complex
Q08920	423	commitment complex (GO)
P14164	478	nucleotide-excision repair factor 4 complex (GO)
P05756	170	90S preribosome
P32386	393	putative Ybt1-Dak1 complex
P47110	104	delta DNA polymerase complex
P06245	195	cAMP-dependent protein kinase complex
P53261	474	nucleolar preribosome, large subunit precursor (GO)
Q12060	174	SAGA complex
Q02457	323	putative Ygr071c-Vid22-Tbf1 complex
Q12499	170	90S preribosome
P39990	414	box C/D snoRNP complex (GO)
Q06245	202	exocyst
P11938	473	nuclear telomere cap complex (GO)
P43132	230	COMPASS complex
P25694	8	Cdc48-Ufd1-Npl4 complex
P10662	123	mitochondrial small ribosomal subunit
P19812	484	proteasome complex (GO)
P38825	248	putative Tom71-Ylr072w complex
P53622	131	COPI vesicle coat
P39744	466	preribosome, large subunit precursor
P39742	211	endoplasmic reticulum Sec complex
P39723	155	gamma-tubulin small complex, spindle pole body
P80428	187	SWR1 complex
P08539	128	heterotrimeric G-protein complex
P40482	85	Sec24-Sfb2-Sec16-Sec23 complex
Q03790	364	putative Nup170-Nup53-Hms1 complex
P47045	450	mitochondrial inner membrane protein insertion complex (GO)
P89886	298	putative Tma20-Tma22 complex
P47118	294	putative Yae1-Ynl260c complex
P32908	89	nuclear cohesin complex
P35189	215	putative Taf8-Taf14-Taf2 TFIID subcomplex
P05745	219	cytosolic large ribosomal subunit
Q12363	228	ribonucleoside-diphosphate reductase complex
P40088	441	high affinity iron permease complex (GO)
Q12499	170	box C/D snoRNP complex (GO)
P38692	52	Kic1-Sog2 complex
P43321	125	U4-U6 x U5 tri-snRNP complex
P16387	137	mitochondrial pyruvate dehydrogenase complex
Q02795	479	putative Wbp1-Swp1 complex
P40069	378	putative Fun19-Kap123 complex
P40577	191	anaphase-promoting complex
Q08553	101	CPF complex
P53064	122	Cdc73-Paf1 complex
P32333	158	ISW1 complex
Q04868	189	Elongator holoenzyme complex
P28817	123	mitochondrial small ribosomal subunit
Q04368	203	signalosome
P33442	219	cytosolic large ribosomal subunit
P53152	514	ubiquitin conjugating enzyme complex (GO)
P38861	396	putative Lsg1-Nmd3-Rei1 complex
P39744	467	Noc2p-Noc3p complex (GO)
Q00816	143	snf1 protein kinase complex
P01123	384	putative Gdi1-Ypt6-Ypt1 complex
P39079	216	chaperonin-containing T-complex
Q04636	160	FACT complex
P32803	343	Erp1-Erp2-Emp24-Erv25 p24 complex
P53861	509	putative Ela1-Tys1 complex
P39008	139	CCR4-NOT complex
Q92331	190	retromer complex, outer shell (GO)
P50108	193	alpha-1,6-mannosyltransferase complex
P20604	33	Sit4-Sap155 complex
Q08683	191	anaphase-promoting complex
P40341	144	m-AAA complex
P36531	94	mitochondtrial large ribosomal subunit
Q06208	473	nuclear telomere cap complex (GO)
P06844	174	SAGA complex
P16522	191	anaphase-promoting complex
Q06344	252	putative Hca4-Esf1-Esf2 complex
P33421	455	mitochondrial respiratory chain complex II (GO)
Q06224	101	CPF complex
Q01163	123	mitochondrial small ribosomal subunit
Q12680	408	glutamate synthase complex (GO)
Q03407	395	putative Pkh1-Mrp8-Pil1-Lsp1 complex
P25632	171	RSC complex
P25342	201	septin complex
P19658	202	exocyst
P24867	426	cyclin-dependent protein kinase holoenzyme complex (GO)
P47167	64	COMA complex
P53942	95	ribonuclease H2 complex (GO)
Q06440	307	putative Abp1-Crn1 complex
Q00711	142	mitochondrial respiratory chain complex II
P17157	312	Pho80-Pho81-Pho85 CDK-cyclin complex
P20435	169	RNA polymerase I complex
Q06673	250	putative Ecm30-Ubp15 complex
Q08465	469	NuA3 histone acetyltransferase complex (GO)
P20604	33	Sit4-Sap190 complex
P39708	344	putative Gdh1-Gdh3 isozyme complex
P53846	294	putative Yae1-Ynl260c complex
P28241	207	mitochondrial isocitrate dehydrogenase complex (NAD+)
P39081	71	cleavage factor I complex
P49955	105	snRNP U2
P15646	170	90S preribosome
P53336	374	putative Ygr283c-Ymr310c complex
P38129	217	SAGA complex
P49089	391	putative Asn1-Asn2 isozyme complex
Q06078	170	90S preribosome
Q06188	345	putative Sas3-Nto1-Ylr455w complex
P07703	182	RNA polymerase III complex
P38920	214	MutLalpha complex
P12688	359	putative Ypk1-Ypk2 complex
P38249	212	eukaryotic translation initiation factor 3 complex
Q08951	106	AP-3 adaptor complex
Q04533	328	putative Met13-Yml082w complex
P40075	26	Scs2-Opi1 complex
P38932	46	Tlg1 SNARE complex
P38144	158	ISW1 complex
P52917	405	putative Snf7-Vps4 complex
Q06156	233	nuclear condensin complex
Q06629	79	HDA complex
P0CX46	219	cytosolic large ribosomal subunit
P40357	502	SNARE complex (GO)
P38333	170	90S preribosome
P38930	90	CURI complex (GO)
Q12509	116	SWR1 complex
P42073	101	CPF complex
Q12074	403	putative Spe3-Spe4 complex
Q12250	388	proteasome regulatory particle
P31412	152	vacuolar proton-transporting V-type ATPase, V1 domain
P25648	510	transcription factor complex (GO)
P47104	152	RAVE complex
Q04749	508	TORC2 complex (GO)
Q04082	438	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)
P08539	128	heterotrimeric G-protein complex (GO)
P39521	425	CURI complex (GO)
P53930	116	NuA4 histone acetyltransferase complex
Q02931	170	RENT complex (GO)
P23644	452	mitochondrial outer membrane translocase complex (GO)
P25298	101	cleavage factor I complex
P43639	90	protein kinase CK2 complex
P06634	154	cytosolic small ribosomal subunit
P32892	204	preribosome, large subunit precursor
P07256	235	subunit VII of the cytochrome bc1 complex
P49018	227	GPI-anchor transamidase complex
P32628	490	repairosome (GO)
P25648	138	transcription factor complex (GO)
Q12092	81	Atg11-Atg17-Atg29-Cis1 complex
P18852	440	heterotrimeric G-protein complex (GO)
Q02455	494	ribonucleoprotein complex (GO)
P38888	292	putative Mnl1-Pdi1 complex
P14693	458	mitochondrial sorting and assembly machinery complex (GO)
P48524	515	ubiquitin ligase complex (GO)
Q01329	101	CPF complex
P50086	183	proteasome regulatory particle
P0CX29	219	cytosolic large ribosomal subunit
P34241	246	putative Rsa3-Urb1-Urb2-Nop8 complex
P32337	68	Ulp1 nuclear pore complex
P25847	121	MutSBeta complex
P53261	412	90S preribosome (GO)
P40364	392	putative Mdm10-Mpm1-Tom40-Yhm2 complex
P38077	92	mitochondrial proton-transporting ATP synthase complex
P32468	201	septin complex
P37366	69	TFIIK complex
Q03071	478	nucleotide-excision repair factor 4 complex (GO)
P53261	474	90S preribosome (GO)
P36048	125	U4-U6 x U5 tri-snRNP complex
Q05676	448	mitochondrial inner membrane peptidase complex (GO)
Q03940	187	R2TP complex
P32571	484	proteasome complex (GO)
P53280	139	CCR4-NOT complex
P32324	291	putative Eft1-Eft2 complex
P00924	482	putative Pck1-Eno1 complex
P53094	247	putative Ybr225w-Mds3-Cdc25 complex
P32597	171	RSC complex
P32914	431	DSIF complex (GO)
P53953	85	Sec24-Sfb2-Sec16-Sec23 complex
P38827	230	COMPASS complex
P26755	225	DNA replication factor A complex
Q00816	143	protein phosphatase type 1 complex (GO)
Q12495	177	CAF-1 complex
Q12692	420	Kap114-Nap1 histone complex
P54790	180	origin recognition complex
P05750	219	cytosolic large ribosomal subunit
Q12207	86	putative Vac8-Nce102 complex
Q02753	219	cytosolic large ribosomal subunit
P39929	433	ESCRT III complex (GO)
P40018	125	U4-U6 x U5 tri-snRNP complex
P20436	169	RNA polymerase II complex
P53086	444	kinesin complex (GO)
P40480	119	Set3C
P38426	226	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
Q03071	424	NEF4 complex
P41697	254	putative Bud6-Yor304c-a complex
P18851	128	heterotrimeric G-protein complex
Q12250	183	proteasome regulatory particle
P06774	151	CCAAT-binding factor complex
P46677	217	transcription factor TFIID complex
P21242	192	proteasome core complex
Q04183	175	TRAPP complex
Q92328	447	Mdm10/Mdm12/Mmm1 complex (GO)
P25344	313	Ste11-Ste50 complex
Q03957	166	carboxy-terminal domain protein kinase complex
P31385	109	Rpd3L complex
P20436	182	RNA polymerase I complex
Q04007	321	putative Ptc4-Ydr186c complex
P60010	168	INO80 complex
P38351	122	Cdc73-Paf1 complex
Q02608	123	mitochondrial small ribosomal subunit
P22138	169	RNA polymerase I complex
Q12487	94	mitochondtrial large ribosomal subunit
P33767	299	putative Wbp1-Swp1 complex
P07258	136	carbamoyl-phosphate synthase complex
P80428	168	NuA4 histone acetyltransferase complex
P21576	158	ISW1 complex
P40339	156	Elg1 RFC-like complex
Q07527	302	putative Trm3-Fas1 complex
P07273	215	RNA polymerase II complex
Q07800	17	Psr2-Psr1-Whi2 complex
P50874	180	origin recognition complex
P17255	152	vacuolar proton-transporting V-type ATPase, V1 domain
Q12514	179	CCR4-NOT Not2-Not5 subcomplex
P20604	280	Sit4-Sap190 complex
P38879	218	nascent polypeptide-associated complex
P01097	453	mitochondrial proton-transporting ATP synthase complex (GO)
Q12262	64	COMA complex
P39998	67	Dcp1-Dcp2 decapping enzyme complex
P15624	224	phenylalanine-tRNA ligase complex
P43579	187	INO80 complex
P24482	113	epsilon DNA polymerase complex
P25296	206	calcineurin complex
Q12389	204	preribosome, large subunit precursor
P40078	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P28495	261	putative Yer071c-Aim21-Cap1-Cap2 complex
P50086	183	proteasome regulatory particle (GO)
P05737	219	cytosolic large ribosomal subunit
P39719	249	putative Flc2-Pdr5 complex
Q06142	342	putative Kap95-Nup1 nuclear pore subcomplex
P53949	349	putative Oca6-Oca5-Oca4-Oca3-Oca1-Oca2 complex
P29703	232	protein farnesyltransferase complex
Q06411	346	spliceosome
P17157	56	Pcl7-Pho85 CDK-cyclin complex
Q06333	401	putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex
P38779	484	proteasome complex (GO)
Q06675	64	COMA complex
Q03153	94	mitochondtrial large ribosomal subunit
P0CX83	219	cytosolic large ribosomal subunit
P53155	288	putative Faa4-Ygl082w complex
P25651	460	monopolin complex (GO)
P18409	447	putative Mdm10-Mpm1-Tom40-Yhm2 complex
P00854	454	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO)
P29703	172	protein farnesyltransferase complex
Q08622	281	putative Grh1-Fmp38 complex
P53336	379	putative Ygr283c-Ymr310c complex
Q12248	130	DASH complex
P42939	194	ESCRT I complex
P51998	94	mitochondtrial large ribosomal subunit
Q12377	183	proteasome regulatory particle
P15732	484	proteasome complex (GO)
P38873	112	TORC1 complex (GO)
Q07381	361	putative Hrr25-Ltv1-Rio2-Tsr1 complex
P53833	129	ribonuclease MRP complex
P14540	274	putative Tdh3-Pgk1-Eno2-Fba1-Pgm1 complex
Q03940	35	R2TP complex
P36104	101	CPF complex
P39682	423	commitment complex (GO)
P15646	414	90S preribosome
Q06338	245	putative Rpl23a-Rpl23b-Bcp1-Rkm1 complex
P06777	165	nucleotide-excision repair factor 1 complex (GO)
P33301	461	Mre11 complex
P28495	435	F-actin capping protein complex (GO)
P46669	169	RNA polymerase I complex
P00899	88	anthranilate synthase complex
P06104	14	proteasome complex (GO)
Q99260	384	putative Gdi1-Ypt6-Ypt1 complex
P14680	305	putative Yak1-Ypl247c complex
P41543	278	putative Ost1-Stt3 complex
Q07794	15	Rtt109-Vps75 complex
P27692	215	DSIF complex (GO)
P38629	156	Elg1 RFC-like complex
P32602	46	Tlg1 SNARE complex
Q06106	170	90S preribosome
P13712	421	chromatin silencing complex (GO)
P25337	409	spliceosome
O13563	183	proteasome regulatory particle
P33322	415	box H/ACA snoRNP complex (GO)
Q04149	442	Holliday junction resolvase complex (GO)
P04911	171	RSC complex
P35728	101	CPF complex
P25298	71	CPF complex
Q07532	215	RNA polymerase II complex
P09547	171	RSC complex
P04821	247	putative Ybr225w-Mds3-Cdc25 complex
P47041	508	TORC2 complex (GO)
P40348	156	Elg1 RFC-like complex
Q08817	52	Kic1-Sog2 complex
Q12311	345	putative Sas3-Nto1-Ylr455w complex
P15625	224	phenylalanine-tRNA ligase complex
P22579	499	Rpd3L complex
P25301	492	Rhp55-Rhp57 complex (GO)
Q06640	515	ubiquitin ligase complex (GO)
O14468	254	putative Bud6-Yor304c-a complex
P00817	317	putative Ipp1-Tus1-Ypl066w complex
P13434	151	CCAAT-binding factor complex
P0C2H8	219	cytosolic large ribosomal subunit
O74700	451	mitochondrial intermembrane space protein transporter complex (GO)
P00128	235	subunit VII of the cytochrome bc1 complex
Q03103	295	putative Erv46-Erv41-Ero1 complex
O13516	154	cytosolic small ribosomal subunit
P53333	409	spliceosome
P47104	220	vacuolar proton-transporting V-type ATPase, V1 domain
P20434	215	RNA polymerase I complex
P23337	353	putative Gsy1-Gsy2 complex
Q99176	194	ESCRT I complex
P34164	143	snf1 protein kinase complex
P32447	420	chromatin assembly complex (GO)
P09938	228	ribonucleoside-diphosphate reductase complex (GO)
P25043	192	proteasome core complex
P32363	438	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex (GO)
P38859	225	DNA replication factor A complex
P10507	135	mitochondrial processing peptidase complex
Q04924	133	alpha-glucosidase II complex
Q03784	175	TRAPP complex
P34218	469	NuA3 histone acetyltransferase complex (GO)
P53942	95	ribonuclease H2 complex
P41895	215	RNA polymerase II complex
P33399	149	signal recognition particle
P39007	278	putative Ost1-Stt3 complex
P47169	503	sulfite reductase complex (NADPH) (GO)
P47150	123	mitochondrial small ribosomal subunit
Q99189	341	putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex
Q99186	176	AP-2 adaptor complex
P50110	458	mitochondrial sorting and assembly machinery complex (GO)
Q02792	34	Rtt103-Rai1-Rat1 complex
Q04080	227	GPI-anchor transamidase complex
P46972	448	mitochondrial inner membrane peptidase complex (GO)
P39713	385	putative Bdh1-Bdh2 complex
Q03433	116	SWR1 complex
P53927	204	preribosome, large subunit precursor
P20604	280	Sit4-Sap155 complex
P38208	129	ribonuclease MRP complex
P40314	218	nascent polypeptide-associated complex
Q04491	66	nucleoporin Nup84 subcomplex
P0CX31	219	cytosolic large ribosomal subunit
P39969	377	putative Boi2-Cdc24 complex
P16649	103	Cyc8-Tup1 corepressor complex
Q06632	101	CPF complex
P23644	392	mitochondrial outer membrane translocase complex (GO)
P22354	94	mitochondtrial large ribosomal subunit
P31244	490	nucleotide-excision repair factor 4 complex (GO)
Q06506	170	small nuclear ribonucleoprotein complex (GO)
P53313	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
Q12024	204	preribosome, large subunit precursor
Q04307	182	RNA polymerase III complex
Q07657	201	septin complex
Q08001	248	putative Tom71-Ylr072w complex
P13393	496	RNA polymerase I transcription factor complex (GO)
P47035	200	RENT complex (GO)
P43583	485	proteasome core complex (GO)
P33891	29	ER SNARE Use1
P13298	314	putative Ura5-Ura10 isozyme complex
Q6Q560	257	putative Nfs1-Isd11 complex
P32893	175	TRAPP complex
P25582	204	preribosome, large subunit precursor
P38427	226	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
P53738	48	Trm112-Trm11 complex
P48015	437	glycine cleavage complex (GO)
P53725	229	exosome (RNase complex)
P53632	99	TRAMP complex
P53738	48	Trm9-Trm112 complex
P49960	234	snRNP U6
P32803	77	Erp1-Erp2-Emp24-Erv25 p24 complex
P00817	358	putative Ipp1-Tus1-Ypl066w complex
P38830	308	putative Uga1-Ndt80 complex
Q07478	146	TREX complex
Q12046	409	spliceosome
Q12309	409	spliceosome
P06787	335	putative Cmd1-Mlc1-Myo2-Myo1-Mlc2 complex
Q06551	480	palmitoyltransferase complex (GO)
P36122	186	exomer complex
Q08961	245	putative Rpl23a-Rpl23b-Bcp1-Rkm1 complex
P54838	393	putative Ybt1-Dak1 complex
P38956	171	RSC complex
P53261	412	preribosome, large subunit precursor
Q12680	436	putative Glt1-Ylr257w complex
P32447	420	Asf1-Rad53 complex
P52286	417	RAVE complex
Q92331	190	retromer complex
P06838	476	nucleotide-excision repair factor 1 complex (GO)
P31376	116	SWR1 complex
P0CX85	219	cytosolic large ribosomal subunit
P38204	497	RNA polymerase I upstream activating factor complex (GO)
P41805	219	cytosolic large ribosomal subunit
Q03246	123	mitochondrial small ribosomal subunit
P20435	182	RNA polymerase II complex
P20438	426	Cln-Cdc28 protein kinase complex
Q07622	358	putative Ipp1-Ack1-Rom2 complex
P41816	407	putative Oye2-Oye3 complex
Q12386	187	INO80 complex
Q12186	84	commitment complex 2
P46151	376	putative Met13-Met12 isozyme complex
P06700	489	RENT complex
P36421	270	putative Ela1-Tys1 complex
Q04477	108	Ndc80 complex
P00359	274	putative Tdh3-Pgk1-Eno2-Fba1-Pgm1 complex
P25847	162	MutSBeta complex
Q12403	343	putative Emp24-Erv25-Erp3-Erp5 complex
P22139	215	RNA polymerase II complex
P38121	147	alpha DNA polymerase:primase complex
P17442	22	Pho80-Pho81-Pho85 CDK-cyclin complex
P17214	506	telomerase holoenzyme complex (GO)
P38187	387	putative Ubp13-Yol087c complex
Q12045	444	kinesin complex (GO)
P38628	276	putative Pcm1-Mgs1 complex
P39015	219	nuclear telomere cap complex (GO)
P25655	139	CCR4-NOT complex
P18851	265	heterotrimeric G-protein complex
P39078	216	chaperonin-containing T-complex
P26754	225	DNA replication factor A complex
P06779	478	Cul3-RING ubiquitin ligase complex (GO)
P27929	123	mitochondrial small ribosomal subunit
P38907	64	COMA complex
P47075	517	vacuolar transporter chaperone complex (GO)
Q06512	170	Noc4p-Nop14p complex (GO)
P07703	169	RNA polymerase I complex
P46948	229	exosome (RNase complex)
P22139	215	RNA polymerase III complex
Q04048	409	spliceosome
P32495	80	core H-ACA snoRNP
P38902	215	RNA polymerase II complex
P36159	241	putative Nuc1-Trz1-Ymr099c complex
P19955	114	mitochondrial oxoglutarate dehydrogenase complex
Q12161	5	HAT-A4 complex
P33308	138	Srb-mediator complex
P35169	507	TORC1 complex (GO)
P08964	464	myosin II complex (GO)
P32867	502	SNARE complex (GO)
P53128	376	putative Met13-Met12 isozyme complex
P43593	486	proteasome regulatory particle (GO)
P07342	413	acetolactate synthase complex (GO)
Q03768	330	putative Gir2-Rbg2 complex
P32628	205	repairosome (GO)
P27472	353	putative Gsy1-Gsy2 complex
P20052	22	Pho80-Pho81-Pho85 CDK-cyclin complex
P33334	125	U4-U6 x U5 tri-snRNP complex
P07149	302	fatty acid synthase complex
P26449	61	Bub1-Bub3 kinase complex
P32499	76	Nup60-Nup2 nuclear pore complex
Q00711	455	mitochondrial respiratory chain complex II (GO)
P39706	230	COMPASS complex
P20435	182	RNA polymerase III complex
P39702	161	HOPS complex
Q03862	362	putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex
P53261	474	preribosome, large subunit precursor
P53067	39	Kap114-Nap1 histone complex
P54786	111	protein phosphatase type 2A complex
P32458	201	septin complex
P06779	424	Cul3-RING ubiquitin ligase complex (GO)
P33299	183	proteasome regulatory particle
P39940	331	Rsp5-Ubp2-Rup1 deubiquitinating enzyme complex
P22219	91	phosphatidylinositol 3-kinase complex II
Q03208	350	putative Yll032c-Yml119w complex
P32558	160	FACT complex
P30665	446	MCM complex (GO)
Q12220	170	90S preribosome
P20438	72	cyclin-dependent protein kinase holoenzyme complex (GO)
P00924	382	phosphopyruvate hydratase complex (GO)
P32833	180	origin recognition complex
Q06623	79	HDA complex
P46682	106	AP-3 adaptor complex
Q00764	226	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
P36084	84	commitment complex (GO)
Q02825	157	tRNA-intron endonuclease complex (GO)
Q12158	89	nuclear cohesin complex
P00958	110	methionyl glutamyl tRNA synthetase complex
P40160	361	putative Hrr25-Ltv1-Rio2-Tsr1 complex
P02829	59	Cpr6-Hsc82-Sti1-Hsp82 complex
P09959	141	SBF transcription complex
P40164	398	putative Ssd1-Psy4-Pph3-Psy2 complex
Q00578	273	putative Ssl2-Yor352w complex
Q12242	21	Rsp5-Ubp2-Rup1 deubiquitinating enzyme complex
P09368	340	putative Put1-Ymr315w complex
P39520	390	putative Rrp7-Ifh1 complex
Q06146	408	putative Glt1-Ylr257w complex
P53829	418	CCR4-NOT complex (GO)
Q06506	501	90S preribosome
P29509	380	putative Trr1-Trr2 complex
P69852	130	DASH complex
P32604	381	putative Fbp26-Ylr345w complex
Q12464	35	INO80 complex
P38353	512	translocon complex (GO)
P45976	101	CPF complex
P53202	424	putative Cul3-Yil001w complex
P38779	204	preribosome, large subunit precursor
P36104	230	CPF complex
P07262	344	putative Gdh1-Gdh3 isozyme complex
P53201	168	NuA4 histone acetyltransferase complex
Q03010	109	Rpd3L complex
P41912	480	palmitoyltransferase complex (GO)
Q12027	132	GID complex
P14906	211	endoplasmic reticulum Sec complex
P50947	109	Rpd3L complex
P36519	94	mitochondtrial large ribosomal subunit
P40072	515	ubiquitin ligase complex (GO)
P10659	310	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex
P33892	310	putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex
P31244	478	repairosome (GO)
P20436	215	RNA polymerase I complex
P00925	482	putative Tdh3-Pgk1-Eno2-Fba1-Pgm1 complex
Q3E840	356	Dph1-Dph2-Dph3 complex
Q12311	469	putative Sas3-Nto1-Ylr455w complex
P36000	124	AP-1 adaptor complex
Q07834	350	putative Yll032c-Yml119w complex
P40094	134	Golgi transport complex
P28495	435	putative Yer071c-Aim21-Cap1-Cap2 complex
Q03406	93	GINS complex
P38811	174	SAGA complex
P53886	191	anaphase-promoting complex
