"Gene Name","Protein IDs","Benign_vs_Malignant_log2 fold change","Benign_vs_Malignant_p.val","Benign_vs_Malignant_p.adj","significant","Benign_vs_Malignant_significant","imputed","num_NAs","Protein.names"
"ALAD","P13716",1.71,1.9e-05,0.00035,TRUE,TRUE,FALSE,0,"Delta-aminolevulinic acid dehydratase"
"ALCAM","Q13740",-2.39,0.000149,0.00118,TRUE,TRUE,FALSE,0,"CD166 antigen"
"ALDH18A1","P54886",-3.04,2.17e-07,3.07e-05,TRUE,TRUE,TRUE,4,"Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase"
"ALDH5A1","P51649",-1.51,0.0172,0.0362,TRUE,TRUE,TRUE,7,"Succinate-semialdehyde dehydrogenase, mitochondrial"
"ALDH6A1","Q02252",-1.28,5.97e-06,0.000224,TRUE,TRUE,FALSE,0,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"
"AMACR","Q9UHK6",-3.46,1.23e-05,0.000298,TRUE,TRUE,TRUE,12,"Alpha-methylacyl-CoA racemase"
"AMBP","P02760",1.24,0.000694,0.00321,TRUE,TRUE,FALSE,0,"Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin"
"ANK3","Q12955",-1.47,0.0119,0.027,TRUE,TRUE,TRUE,2,"Ankyrin-3"
"ANP32A","P39687",-1.04,1.82e-05,0.000343,TRUE,TRUE,FALSE,0,"Acidic leucine-rich nuclear phosphoprotein 32 family member A"
"ANP32E","Q9BTT0",1.06,0.00415,0.0119,TRUE,TRUE,TRUE,3,"Acidic leucine-rich nuclear phosphoprotein 32 family member E"
"ANXA3","P12429",-1.16,0.00189,0.00677,TRUE,TRUE,FALSE,0,"Annexin A3"
"ANXA6","P08133",1.02,0.000188,0.00137,TRUE,TRUE,FALSE,0,"Annexin A6"
"AOX1","Q06278",2.02,1.65e-05,0.000331,TRUE,TRUE,TRUE,10,"Aldehyde oxidase"
"AP1M2","Q9Y6Q5",-1.77,0.00633,0.0164,TRUE,TRUE,TRUE,13,"AP-1 complex subunit mu-2"
"APIP","Q96GX9",-1.65,0.0069,0.0176,TRUE,TRUE,TRUE,10,"Methylthioribulose-1-phosphate dehydratase"
"APOA2","P02652",1.14,0.000544,0.00278,TRUE,TRUE,FALSE,0,"Apolipoprotein A-II;Proapolipoprotein A-II;Truncated apolipoprotein A-II"
"APOA4","P06727",1.29,0.00102,0.00427,TRUE,TRUE,FALSE,0,"Apolipoprotein A-IV"
"APOC3","P02656",1.97,0.000217,0.0015,TRUE,TRUE,TRUE,1,"Apolipoprotein C-III"
"APOM","O95445",1.09,0.0254,0.0494,TRUE,TRUE,TRUE,10,"Apolipoprotein M"
"APOO","Q9BUR5",-1.3,0.00934,0.0225,TRUE,TRUE,TRUE,14,"Apolipoprotein O"
"APPL2","Q8NEU8",-2.44,9.73e-06,0.000253,TRUE,TRUE,TRUE,8,"DCC-interacting protein 13-beta"
"ARCN1","P48444",-1.55,0.00222,0.0076,TRUE,TRUE,TRUE,1,"Coatomer subunit delta"
"ARFGAP2","Q8N6H7",-1.45,0.00571,0.0151,TRUE,TRUE,TRUE,14,"ADP-ribosylation factor GTPase-activating protein 2"
"ARFGAP3","Q9NP61",-2.6,1.72e-05,0.000333,TRUE,TRUE,TRUE,8,"ADP-ribosylation factor GTPase-activating protein 3"
"ARFGEF3","Q5TH69",-2.84,6.13e-05,0.000705,TRUE,TRUE,TRUE,8,"Brefeldin A-inhibited guanine nucleotide-exchange protein 3"
"ARFIP1","P53367",-2.14,0.00112,0.00455,TRUE,TRUE,TRUE,5,"Arfaptin-1"
"ARFIP2","P53365",-1.59,0.00151,0.00567,TRUE,TRUE,TRUE,14,"Arfaptin-2"
"ARHGEF7","Q14155",-1.58,0.000141,0.00115,TRUE,TRUE,TRUE,14,"Rho guanine nucleotide exchange factor 7"
"ARL1","P40616",-1.48,0.000587,0.00288,TRUE,TRUE,TRUE,10,"ADP-ribosylation factor-like protein 1"
"ARMCX3","Q9UH62",-1.81,0.000108,0.000987,TRUE,TRUE,TRUE,13,"Armadillo repeat-containing X-linked protein 3"
"ARPIN","Q7Z6K5",1.41,0.00143,0.00546,TRUE,TRUE,TRUE,15,"Arpin"
"ARSA","P15289",-2.45,0.000164,0.00125,TRUE,TRUE,TRUE,3,"Arylsulfatase A;Arylsulfatase A component B;Arylsulfatase A component C"
"ASPA","P45381",2.12,7.71e-05,0.000811,TRUE,TRUE,TRUE,13,"Aspartoacylase"
"ASPH","Q12797",1.43,0.0196,0.0401,TRUE,TRUE,TRUE,10,"Aspartyl/asparaginyl beta-hydroxylase"
"ASPN","Q9BXN1",-3.43,0.000785,0.0035,TRUE,TRUE,TRUE,8,"Asporin"
"ATAD3A","Q9NVI7",-2.21,2.74e-05,0.00043,TRUE,TRUE,TRUE,10,"ATPase family AAA domain-containing protein 3A"
"ATP13A1","Q9HD20",-1.83,3.87e-05,0.000534,TRUE,TRUE,TRUE,11,"Manganese-transporting ATPase 13A1"
"ATP2C1","P98194",-1.87,0.0046,0.0128,TRUE,TRUE,TRUE,6,"Calcium-transporting ATPase type 2C member 1"
"ATP5J2","P56134",-2.3,0.00503,0.0137,TRUE,TRUE,TRUE,9,"ATP synthase subunit f, mitochondrial"
"ATP6V0A1","Q93050",-1.95,0.00702,0.0178,TRUE,TRUE,TRUE,11,"V-type proton ATPase 116 kDa subunit a isoform 1"
"ATP6V1C1","P21283",-1.27,0.0231,0.0457,TRUE,TRUE,TRUE,9,"V-type proton ATPase subunit C 1"
"ATP6V1F","Q16864",-1.94,2.52e-06,0.000141,TRUE,TRUE,TRUE,11,"V-type proton ATPase subunit F"
"ATP6V1H","Q9UI12",-1.16,0.0114,0.0262,TRUE,TRUE,TRUE,5,"V-type proton ATPase subunit H"
"ATP8A1","Q9Y2Q0",-1.48,0.00898,0.0217,TRUE,TRUE,TRUE,15,"Phospholipid-transporting ATPase IA"
"ATXN10","Q9UBB4",-1.29,0.00164,0.00609,TRUE,TRUE,TRUE,2,"Ataxin-10"
"AUH","Q13825",-1.12,0.0132,0.0294,TRUE,TRUE,TRUE,9,"Methylglutaconyl-CoA hydratase, mitochondrial"
"AZGP1","P25311",1.09,0.0164,0.0349,TRUE,TRUE,FALSE,0,"Zinc-alpha-2-glycoprotein"
"BAG3","O95817",1.27,0.00335,0.0103,TRUE,TRUE,FALSE,0,"BAG family molecular chaperone regulator 3"
"BAX","Q07812",-2.21,0.00126,0.00496,TRUE,TRUE,TRUE,12,"Apoptosis regulator BAX"
"BCAS2","O75934",-2.21,3.96e-08,1.18e-05,TRUE,TRUE,TRUE,12,"Pre-mRNA-splicing factor SPF27"
"BCAT2","O15382",-1.41,0.00419,0.012,TRUE,TRUE,TRUE,1,"Branched-chain-amino-acid aminotransferase, mitochondrial"
"BCCIP","Q9P287",-2.07,0.000647,0.00309,TRUE,TRUE,TRUE,14,"BRCA2 and CDKN1A-interacting protein"
"BCKDHA","P12694",-2.33,7.21e-06,0.000225,TRUE,TRUE,TRUE,8,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial"
"BCKDHB","P21953",-1.76,0.000284,0.00177,TRUE,TRUE,TRUE,5,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"
"BCL2L13","Q9BXK5",-1.01,0.00509,0.0138,TRUE,TRUE,TRUE,2,"Bcl-2-like protein 13"
"BCLAF1","Q9NYF8",-1.55,0.0185,0.0384,TRUE,TRUE,TRUE,10,"Bcl-2-associated transcription factor 1"
"BDH1","Q02338",-3.11,1.34e-07,2.67e-05,TRUE,TRUE,TRUE,9,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"
"BIN1","O00499",2.67,9.89e-05,0.000946,TRUE,TRUE,TRUE,4,"Myc box-dependent-interacting protein 1"
"BZW2","Q9Y6E2",-1.47,0.000699,0.00322,TRUE,TRUE,TRUE,13,"Basic leucine zipper and W2 domain-containing protein 2"
"C12orf10","Q9HB07",-1.35,0.000576,0.00286,TRUE,TRUE,TRUE,10,"UPF0160 protein MYG1, mitochondrial"
"C2","P06681",2.06,0.000112,0.00101,TRUE,TRUE,TRUE,6,"Complement C2;Complement C2b fragment;Complement C2a fragment"
"C3","P01024",1.05,0.000525,0.00272,TRUE,TRUE,FALSE,0,"Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2"
"C5","P01031",1.57,0.000322,0.00191,TRUE,TRUE,TRUE,4,"Complement C5;Complement C5 beta chain;Complement C5 alpha chain;C5a anaphylatoxin;Complement C5 alpha chain"
"C6","P13671",1.69,0.00019,0.00138,TRUE,TRUE,TRUE,6,"Complement component C6"
"C7","P10643",2.73,0.000148,0.00118,TRUE,TRUE,TRUE,4,"Complement component C7"
"C8B","P07358",1.78,2.47e-05,0.000413,TRUE,TRUE,TRUE,3,"Complement component C8 beta chain"
"C8G","P07360",2.29,7.25e-06,0.000225,TRUE,TRUE,TRUE,8,"Complement component C8 gamma chain"
"CA1","P00915",1.04,0.00851,0.0207,TRUE,TRUE,FALSE,0,"Carbonic anhydrase 1"
"CA3","P07451",3.84,0.000161,0.00125,TRUE,TRUE,TRUE,12,"Carbonic anhydrase 3"
"CAB39L","Q9H9S4",-1.01,0.00797,0.0196,TRUE,TRUE,TRUE,5,"Calcium-binding protein 39-like"
"CACNA2D1","P54289",2.3,8.91e-06,0.000246,TRUE,TRUE,TRUE,3,"Voltage-dependent calcium channel subunit alpha-2/delta-1;Voltage-dependent calcium channel subunit alpha-2-1;Voltage-dependent calcium channel subunit delta-1"
"CAMK2G","Q13555",1.54,0.00193,0.00686,TRUE,TRUE,TRUE,3,"Calcium/calmodulin-dependent protein kinase type II subunit gamma"
"CANT1","Q8WVQ1",-2.93,8.71e-06,0.000245,TRUE,TRUE,TRUE,6,"Soluble calcium-activated nucleotidase 1"
"CAPRIN1","Q14444",-1.04,0.0032,0.01,TRUE,TRUE,TRUE,1,"Caprin-1"
"CASC4","Q6P4E1",-1.97,2.2e-05,0.000386,TRUE,TRUE,TRUE,13,"Protein CASC4"
"CAV1","Q03135",1.38,2.56e-05,0.000418,TRUE,TRUE,FALSE,0,"Caveolin-1;Caveolin-3"
"CBX1","P83916",-1.08,0.00335,0.0103,TRUE,TRUE,TRUE,9,"Chromobox protein homolog 1"
"CBX3","Q13185",-1.11,6.31e-06,0.000225,TRUE,TRUE,FALSE,0,"Chromobox protein homolog 3"
"CBX5","P45973",-1.02,0.0124,0.028,TRUE,TRUE,TRUE,1,"Chromobox protein homolog 5"
"CCAR1","Q8IX12",-2.3,3.97e-05,0.000537,TRUE,TRUE,TRUE,9,"Cell division cycle and apoptosis regulator protein 1"
"CCDC6","Q16204",-1.98,0.000832,0.00366,TRUE,TRUE,TRUE,12,"Coiled-coil domain-containing protein 6"
"CDK5","Q00535",-1.47,0.00292,0.00938,TRUE,TRUE,TRUE,14,"Cyclin-dependent-like kinase 5"
"CDK5RAP3","Q96JB5",-1.07,0.0141,0.0308,TRUE,TRUE,TRUE,7,"CDK5 regulatory subunit-associated protein 3"
"CECR5","Q9BXW7",-1.16,0.000485,0.00254,TRUE,TRUE,TRUE,13,"Cat eye syndrome critical region protein 5"
"CERS2","Q96G23",-1.27,0.00731,0.0184,TRUE,TRUE,TRUE,15,"Ceramide synthase 2"
"CES1","P23141",2.08,4.53e-06,0.000195,TRUE,TRUE,FALSE,0,"Liver carboxylesterase 1"
"CFD","P00746",1.68,0.00318,0.00995,TRUE,TRUE,TRUE,14,"Complement factor D"
"CFI","P05156",1.38,0.00552,0.0147,TRUE,TRUE,TRUE,3,"Complement factor I;Complement factor I heavy chain;Complement factor I light chain"
"CFL2","Q9Y281",1.17,6.94e-06,0.000225,TRUE,TRUE,FALSE,0,"Cofilin-2"
"CHD4","Q14839",-1.44,6.83e-06,0.000225,TRUE,TRUE,TRUE,11,"Chromodomain-helicase-DNA-binding protein 4"
"CHMP5","Q9NZZ3",-1.54,0.00143,0.00546,TRUE,TRUE,TRUE,8,"Charged multivesicular body protein 5"
"CHTOP","Q9Y3Y2",-1.55,0.00306,0.00969,TRUE,TRUE,TRUE,12,"Chromatin target of PRMT1 protein"
"CKAP5","Q14008",-1.53,0.00356,0.0108,TRUE,TRUE,TRUE,6,"Cytoskeleton-associated protein 5"
"CKM","P06732",2.07,0.0163,0.0347,TRUE,TRUE,TRUE,7,"Creatine kinase M-type;Creatine kinase M-type, N-terminally processed"
"CLDN3","O15551",-1.58,0.00543,0.0145,TRUE,TRUE,TRUE,15,"Claudin-3"
"CLINT1","Q14677",-1.56,0.00168,0.00622,TRUE,TRUE,TRUE,2,"Clathrin interactor 1"
"CLPP","Q16740",-2.81,6.69e-05,0.000747,TRUE,TRUE,TRUE,11,"ATP-dependent Clp protease proteolytic subunit, mitochondrial"
"CLU","P10909",1.44,0.000163,0.00125,TRUE,TRUE,FALSE,0,"Clusterin;Clusterin beta chain;Clusterin alpha chain"
"CMAS","Q8NFW8",-1.81,0.00197,0.00697,TRUE,TRUE,TRUE,5,"N-acylneuraminate cytidylyltransferase"
"CMPK1","P30085",-1.09,4.64e-07,4.82e-05,TRUE,TRUE,FALSE,0,"UMP-CMP kinase"
"CNBP","P62633",-1.43,0.00764,0.019,TRUE,TRUE,TRUE,14,"Cellular nucleic acid-binding protein"
"CNN1","P51911",1.14,0.00022,0.00151,TRUE,TRUE,FALSE,0,"Calponin-1"
"CNPY3","Q9BT09",-1.65,0.0134,0.0299,TRUE,TRUE,TRUE,12,"Protein canopy homolog 3"
"COA3","Q9Y2R0",-1.08,0.0113,0.0261,TRUE,TRUE,TRUE,12,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial"
"COBLL1","Q53SF7",-1.5,0.00193,0.00685,TRUE,TRUE,TRUE,7,"Cordon-bleu protein-like 1"
"COG3","Q96JB2",-1.17,0.0208,0.0422,TRUE,TRUE,TRUE,7,"Conserved oligomeric Golgi complex subunit 3"
"COL14A1","Q05707",1.74,8.7e-06,0.000245,TRUE,TRUE,FALSE,0,"Collagen alpha-1(XIV) chain"
"COL4A1","P02462",1.64,0.00479,0.0132,TRUE,TRUE,TRUE,3,"Collagen alpha-1(IV) chain;Arresten"
"COL6A1","P12109",1.7,8.4e-06,0.000245,TRUE,TRUE,FALSE,0,"Collagen alpha-1(VI) chain"
"COL6A2","P12110",1.7,1.47e-05,0.000317,TRUE,TRUE,FALSE,0,"Collagen alpha-2(VI) chain"
"COL6A3","P12111",1.61,3.93e-05,0.000537,TRUE,TRUE,FALSE,0,"Collagen alpha-3(VI) chain"
"COPA","P53621",-1.11,9e-05,0.00089,TRUE,TRUE,FALSE,0,"Coatomer subunit alpha;Xenin;Proxenin"
"COPB1","P53618",-1.24,8.08e-05,0.00084,TRUE,TRUE,FALSE,0,"Coatomer subunit beta"
"COPB2","P35606",-1.21,2.73e-05,0.00043,TRUE,TRUE,FALSE,0,"Coatomer subunit beta"
"COPE","O14579",-2.62,9.12e-05,0.00089,TRUE,TRUE,TRUE,5,"Coatomer subunit epsilon"
"COPG1","Q9Y678",-1.32,5.08e-06,0.000198,TRUE,TRUE,FALSE,0,"Coatomer subunit gamma-1"
"COPS5","Q92905",-1.5,0.00173,0.00636,TRUE,TRUE,TRUE,7,"COP9 signalosome complex subunit 5"
"COX6C","P09669",-2.79,0.00016,0.00125,TRUE,TRUE,TRUE,6,"Cytochrome c oxidase subunit 6C"
"COX7A2","P14406",-2.69,2.57e-05,0.000418,TRUE,TRUE,TRUE,7,"Cytochrome c oxidase subunit 7A2, mitochondrial"
"CP","P00450",1.14,0.000333,0.00197,TRUE,TRUE,FALSE,0,"Ceruloplasmin"
"CPD","O75976",-2.14,1.32e-05,0.000307,TRUE,TRUE,TRUE,7,"Carboxypeptidase D"
"CPSF6","Q16630",-2.94,1.22e-05,0.000297,TRUE,TRUE,TRUE,6,"Cleavage and polyadenylation specificity factor subunit 6"
"CPT2","P23786",-2.39,4.98e-05,0.000613,TRUE,TRUE,TRUE,2,"Carnitine O-palmitoyltransferase 2, mitochondrial"
"CRAT","P43155",-2.62,0.000786,0.0035,TRUE,TRUE,TRUE,8,"Carnitine O-acetyltransferase"
"CRYAB","P02511",1.62,7.3e-05,0.000783,TRUE,TRUE,FALSE,0,"Alpha-crystallin B chain"
"CSTF2","P33240",-1.09,0.0149,0.0323,TRUE,TRUE,TRUE,5,"Cleavage stimulation factor subunit 2"
"CTSZ","Q9UBR2",-1.92,0.00425,0.0121,TRUE,TRUE,TRUE,2,"Cathepsin Z"
"CYB5R2","Q6BCY4",1.34,0.00211,0.00733,TRUE,TRUE,TRUE,2,"NADH-cytochrome b5 reductase 2"
"DBT","P11182",-1.25,0.00019,0.00138,TRUE,TRUE,FALSE,0,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial"
"DCN","P07585",1.88,2.72e-05,0.00043,TRUE,TRUE,FALSE,0,"Decorin"
"DCPS","Q96C86",-1.31,0.00208,0.00725,TRUE,TRUE,TRUE,4,"m7GpppX diphosphatase"
"DCXR","Q7Z4W1",-1.6,0.000663,0.00315,TRUE,TRUE,FALSE,0,"L-xylulose reductase"
"DDB1","Q16531",-1.49,0.00318,0.00995,TRUE,TRUE,TRUE,3,"DNA damage-binding protein 1"
"DDI2","Q5TDH0",-2.02,0.00496,0.0136,TRUE,TRUE,TRUE,9,"Protein DDI1 homolog 2"
"DDX21","Q9NR30",-1.94,0.000188,0.00137,TRUE,TRUE,TRUE,12,"Nucleolar RNA helicase 2"
"DDX23","Q9BUQ8",-1.26,7.07e-05,0.000778,TRUE,TRUE,TRUE,8,"Probable ATP-dependent RNA helicase DDX23"
"DDX42","Q86XP3",-1.38,0.000268,0.00171,TRUE,TRUE,TRUE,5,"ATP-dependent RNA helicase DDX42"
"DDX46","Q7L014",-2.5,5.1e-05,0.000616,TRUE,TRUE,TRUE,10,"Probable ATP-dependent RNA helicase DDX46"
"DDX5","P17844",-1.8,0.00581,0.0153,TRUE,TRUE,TRUE,3,"Probable ATP-dependent RNA helicase DDX5"
"DECR1","Q16698",-1.18,0.000763,0.00344,TRUE,TRUE,FALSE,0,"2,4-dienoyl-CoA reductase, mitochondrial"
"DES","P17661",1.39,0.000366,0.00211,TRUE,TRUE,FALSE,0,"Desmin"
"DHRS7","Q9Y394",-1.52,0.022,0.044,TRUE,TRUE,TRUE,1,"Dehydrogenase/reductase SDR family member 7"
"DHX15","O43143",-1.86,0.00229,0.00781,TRUE,TRUE,TRUE,4,"Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15"
"DKC1","O60832",-4.02,4.63e-11,1.11e-07,TRUE,TRUE,TRUE,10,"H/ACA ribonucleoprotein complex subunit 4"
"DLG1","Q12959",-1.43,0.0192,0.0396,TRUE,TRUE,TRUE,15,"Disks large homolog 1"
"DMD","P11532",1.2,0.0146,0.0317,TRUE,TRUE,TRUE,2,"Dystrophin"
"DNAJB11","Q9UBS4",-1.66,1.6e-06,0.000109,TRUE,TRUE,TRUE,8,"DnaJ homolog subfamily B member 11"
"DNAJB4","Q9UDY4",1.86,3.61e-06,0.000182,TRUE,TRUE,TRUE,6,"DnaJ homolog subfamily B member 4"
"DNAJC10","Q8IXB1",-1.05,0.00309,0.00975,TRUE,TRUE,TRUE,9,"DnaJ homolog subfamily C member 10"
"DNAJC5","Q9H3Z4",-1.88,0.00106,0.00438,TRUE,TRUE,TRUE,3,"DnaJ homolog subfamily C member 5"
"DNAJC8","O75937",-1.74,0.000406,0.00226,TRUE,TRUE,TRUE,10,"DnaJ homolog subfamily C member 8"
"DPP7","Q9UHL4",-2.24,0.00258,0.00851,TRUE,TRUE,TRUE,1,"Dipeptidyl peptidase 2"
"DPT","Q07507",1.75,0.0187,0.0387,TRUE,TRUE,TRUE,1,"Dermatopontin"
"DPYSL3","Q14195",1.14,1.52e-05,0.000317,TRUE,TRUE,FALSE,0,"Dihydropyrimidinase-related protein 3"
"DSP","P15924",-1.08,0.0229,0.0454,TRUE,TRUE,FALSE,0,"Desmoplakin"
"DYNC1LI1","Q9Y6G9",-1.24,0.0129,0.0289,TRUE,TRUE,TRUE,3,"Cytoplasmic dynein 1 light intermediate chain 1"
"DYNLT1","P63172",-1.47,0.00191,0.00681,TRUE,TRUE,TRUE,5,"Dynein light chain Tctex-type 1"
"ECI2","O75521",-1.87,6.99e-05,0.000773,TRUE,TRUE,FALSE,0,"Enoyl-CoA delta isomerase 2, mitochondrial"
"ECM29","Q5VYK3",-1.58,0.000791,0.0035,TRUE,TRUE,TRUE,1,"Proteasome-associated protein ECM29 homolog"
"EDC4","Q6P2E9",-1.69,0.00198,0.00697,TRUE,TRUE,TRUE,8,"Enhancer of mRNA-decapping protein 4"
"EEF1A2","Q05639",-1.92,0.017,0.0358,TRUE,TRUE,TRUE,11,"Elongation factor 1-alpha 2"
"EFEMP1","Q12805",1.95,0.00568,0.015,TRUE,TRUE,TRUE,1,"EGF-containing fibulin-like extracellular matrix protein 1"
"EHD2","Q9NZN4",1.11,0.000116,0.00102,TRUE,TRUE,FALSE,0,"EH domain-containing protein 2"
"EIF2B5","Q13144",-1.29,0.00239,0.0081,TRUE,TRUE,TRUE,13,"Translation initiation factor eIF-2B subunit epsilon"
